status;raw_title;search_title;author_hint;best_title;best_subtitle;best_authors;best_publisher;best_isbn;best_year;best_page_count;source_name;source_url;confidence;source_query
sem-match-forte;"10 RAZÕES PARA SER ESPÍRITA";"10 RAZÕES PARA SER ESPÍRITA";;"O Novo Testamento, etc";;;;;1811;382;"Google Books";https://play.google.com/store/books/details?id=ZOJUAAAAcAAJ&source=gbs_api;0.2325;"10 RAZÕES PARA SER ESPÍRITA"
sem-match-forte;"A ARTE DE MAGNETIZAR OU, MAGNETISMO ANIMAL";"A ARTE DE MAGNETIZAR OU, MAGNETISMO ANIMAL";;"Ide e curai: magnetismo aplicado a cura";;;"Editora Auta de Souza";9786586611458;2026;425;"Google Books";https://play.google.com/store/books/details?id=Ayy_EQAAQBAJ&source=gbs_api;0.3403;"A ARTE DE MAGNETIZAR OU"
sem-match-forte;"A cada um Segundo suas OBRAS";"A cada um Segundo suas OBRAS";;"Manual da teoria geral do direito";;"Carlos Eduardo Nicoletti Camillo";"Almedina Brasil";9788584939343;2025;263;"Google Books";https://play.google.com/store/books/details?id=3xKfEQAAQBAJ&source=gbs_api;0.2236;"A cada um Segundo suas OBRAS"
sem-match-forte;"A CAMINHO DA LUZ - FRANCISCO CÃ‚NDIDO XAVIER";"A CAMINHO DA LUZ - FRANCISCO CÃ‚NDIDO XAVIER";;"2019 - O Ápice da Transição Planetária";"Revelações de Chico Xavier";"Marlene Nobre, Geraldo Lemos Neto";"FE Editora";9786599093906;2020;285;"Google Books";https://play.google.com/store/books/details?id=mXLgDwAAQBAJ&source=gbs_api;0.3784;"A CAMINHO DA LUZ - FRANCISCO CÃ‚NDIDO XAVIER"
sem-match-forte;"A CORAGEM DA FÉ";"A CORAGEM DA FÉ";;"Carlinhos e a Jornada da Coragem pela Fé";;"Ademir Francisco Silva";"Ademir Francisco de Souza e Silva";;2025;11;"Google Books";https://play.google.com/store/books/details?id=Jr6cEQAAQBAJ&source=gbs_api;0.6956;"A CORAGEM DA FÉ"
sem-match-forte;"A CURA DA DEPRESSÃO PELO MAGNETISMO";"A CURA DA DEPRESSÃO PELO MAGNETISMO";;"Guia 301 Dicas para Não Ter Depressão";"Edição 1";"Guia de Saúde, Saúde e Bem-Estar, On Line Editora";"On Line Editora";;2018;96;"Google Books";https://play.google.com/store/books/details?id=FsUzDwAAQBAJ&source=gbs_api;0.3848;"A CURA DA DEPRESSÃO PELO MAGNETISMO"
sem-match-forte;"A EVANGELIZAÇÃO MUDANDO VIDAS";"A EVANGELIZAÇÃO MUDANDO VIDAS";;"A Evangelização de portas abertas para o autismo";;"Lucia Moysés";"Editora EME";9786555431384;2024;194;"Google Books";https://play.google.com/store/books/details?id=5xknEQAAQBAJ&source=gbs_api;0.5443;"A EVANGELIZAÇÃO MUDANDO VIDAS"
sem-match-forte;"A GÊNESE - BESOUROLUX";"A GÊNESE - BESOUROLUX";;"Estudando A Gênese";;"Luiz Carlos Marasco";"Clube de Autores";9786500490213;2022;81;"Google Books";https://play.google.com/store/books/details?id=6JugEAAAQBAJ&source=gbs_api;0.5214;"A GÊNESE - BESOUROLUX"
sem-match-forte;"A GÊNESE - EME PROMOCIONAL";"A GÊNESE - EME PROMOCIONAL";;"Amazon Publishing Income Genesis";;"Dr. Ope Banwo, Eric O. Philip ";"Dr Ope Banwo";;;204;"Google Books";https://play.google.com/store/books/details?id=ALbtEAAAQBAJ&source=gbs_api;0.1771;"A GÊNESE - EME PROMOCIONAL"
sem-match-forte;"A GÊNESE - LETRAS GIGANTES";"A GÊNESE - LETRAS GIGANTES";;"A gênese de Incidente em Antares";;"Márcia Ivana de Lima e Silva";EDIPUCRS;9788574301709;2000;184;"Google Books";http://books.google.com.br/books?id=8_Q-ymITDxQC&dq=A+G%C3%8ANESE+-+LETRAS+GIGANTES&hl=&as_pt=BOOKS&source=gbs_api;0.5664;"A GÊNESE - LETRAS GIGANTES"
sem-match-forte;"A INSTRUSA - VERA LÃšCIA MARINZECK DE CARVALHO";"A INSTRUSA - VERA LÃšCIA MARINZECK DE CARVALHO";;"A intrusa";;"Vera Lúcia Marinzeck de Carvalho, Antônio Carlos";;9788578131524;2014;0;"Google Books";http://books.google.com.br/books?id=zCD8zwEACAAJ&dq=A+INSTRUSA+-+VERA+L%C3%83%C5%A1CIA+MARINZECK+DE+CARVALHO&hl=&as_pt=BOOKS&source=gbs_api;0.2649;"A INSTRUSA - VERA LÃšCIA MARINZECK DE CARVALHO"
sem-match-forte;"A NOVIÇA E O FARAO";"A NOVIÇA E O FARAO";;"A vida e as opiniões do cavalheiro Tristram Shandy (Nova edição)";;"Laurence Sterne";Penguin-Companhia;9786557823545;2022;763;"Google Books";https://play.google.com/store/books/details?id=PHZvEAAAQBAJ&source=gbs_api;0.2915;"A NOVIÇA E O FARAO"
sem-match-forte;"A OBSESSÃO E O MOVIMENTO ESPÍRITA";"A OBSESSÃO E O MOVIMENTO ESPÍRITA";;"Marlene Nobre e o ideal médico-espírita";;"Décio Iandoli Jr., Giovana Campos";"AME-Brasil Editora";9786586740042;2020;297;"Google Books";https://play.google.com/store/books/details?id=bL7_DwAAQBAJ&source=gbs_api;0.5861;"A OBSESSÃO E O MOVIMENTO ESPÍRITA"
sem-match-forte;"A ORDEM DIDÁTICA DE O LIVRO DOS ESPIRITOS";"A ORDEM DIDÁTICA DE O LIVRO DOS ESPIRITOS";;"O Livro dos Espíritos";;"Allan Kardec";"EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA";9788572975735;2022;403;"Google Books";https://play.google.com/store/books/details?id=pNH5DwAAQBAJ&source=gbs_api;0.6100;"A ORDEM DIDÁTICA DE O LIVRO DOS ESPIRITOS"
sem-match-forte;"A Reencarnação na Bíblia e na Ciência";"A Reencarnação na Bíblia e na Ciência";;"Fenômenos supranormais";"E outras misteriosas manifestações paranormais";"Carlos Falcão de Matos";"A Luz do Ser";9786500230413;2021;289;"Google Books";https://play.google.com/store/books/details?id=tcI1EAAAQBAJ&source=gbs_api;0.2154;"A Reencarnação na Bíblia e na Ciência"
sem-match-forte;"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA";"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA";;"Qualidade Total Na Casa Espírita";;"Ricardo Rêgo Barros";"Clube de Autores";;2021;274;"Google Books";http://books.google.com.br/books?id=RnU3EAAAQBAJ&dq=ACOLHIMENTO+FRATERNO+NA+CASA+ESP%C3%8DRITA&hl=&as_pt=BOOKS&source=gbs_api;0.6593;"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA"
