sku;slug;title;subtitle;author_name;publisher_name;isbn;barcode;edition_label;volume_number;volume_label;publication_year;page_count;language;description;sale_price;stock_minimum;status;location_label;category_name;genre_name;collection_name;source_name;source_url;confidence;raw_title;search_title;author_hint
CEDE-LIV-0002;a-alma-dos-animais-2;"A ALMA DOS ANIMAIS";;"Celso Martins";;;;;;;2002;;Português;;;;active;;;;;Invisibillis;https://www.invisibillis.com/livros/a-alma-dos-animais/;1.0000;"A ALMA DOS ANIMAIS";"A ALMA DOS ANIMAIS";
CEDE-LIV-0004;a-arte-de-recomecar-4;"A ARTE DE RECOMEÇAR";;"Thais Luz";"EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA";9781526003515;9781526003515;;;;2021;104;;"O Livro relata pensamentos e sentimentos muitas vezes vivenciados por todos, no decorrer de sua trajetória de vida, divido com vocês, um pouco de minha história, pensamentos e sentimentos. O intuito do livro é também o de estimular a auto-análise por parte do leitor.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=ondNDwAAQBAJ&source=gbs_api;1.0000;"A Arte de Recomeçar";"A Arte de Recomeçar";
CEDE-LIV-0005;a-arte-de-seguir-em-frente-um-manual-em-primeirissima-pessoa-5;"A ARTE DE SEGUIR EM FRENTE: UM MANUAL EM PRIMEIRÍSSIMA PESSOA";;"Paola Cavallari";"Editora Appris";9786525056029;9786525056029;;;;2024;255;;"Ao começar a pandemia de 2018, Mônica, uma mulher de quase 60 anos, de luto pela não tão recente morte do marido, encontra numa gaveta da cozinha um caderno de receitas esquecido entre espátulas e batedores, já há muito sem uso. Mônica usa esse caderno para escrever um diário que se transforma em uma carta para Mané, o marido morto. Mônica escreve suas confidências, desejos e sonhos, imaginando como Mané reagiria aos acontecimentos descritos e suas respostas, resgatando os anos que viveu ao lado do marido. Entre uma lembrança e outra, Mônica revisita os 30 anos de casada e reflete sobre erros e acertos cometidos pelos dois. A partir da vida que viveu, ela questiona o mundo que parece tão estranho. Quando a pandemia finalmente chega ao fim, Mônica percebe que não pode e não quer continuar escondida do mundo, sozinha no silêncio do apartamento vazio. Ela então comunica ao Mané que vai encontrar um namorado, por isso ela faz um perfil no Crusher, o aplicativo de namoros, mas o que ela não sabe é que os homens disponíveis nessa faixa etária são muito mais complicados, cheios de manias e esquisitices, mais do que ela imaginava. Conforme vai conhecendo outras pessoas, consegue se despedir do marido que já se foi e se abrir para novas possibilidades. Mônica se depara com um mundo diferente daquele com que estava acostumada, mas percebe que é um caminho sem volta. Como ela mesma diz: ""Eu não sou mulher de faraó para ser emparedada junto com o sarcófago, como no Antigo Egito"". Assim, Mônica vai encontrando maneiras de seguir em frente.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=PdgBEQAAQBAJ&source=gbs_api;1.0000;"A ARTE DE SEGUIR EM FRENTE";"A ARTE DE SEGUIR EM FRENTE";
CEDE-LIV-0006;a-arte-do-re-encontro-casamento-fep-6;"A ARTE DO RE ENCONTRO: CASAMENTO (FEP)";;"Alberto Almeida, Joanna de Ângelis (Espírito)";FEP;9786587753027;9786587753027;;;;2021;157;;"Dividida em 21 capítulos, esta obra é um convite à reflexão sobre a dinâmica do relacionamento a dois, e sobre os elementos que impactam na saúde da relação de conjugalidade. Temas como casamento e filhos de outro casamento, casamento e infidelidade conjugal, casamento e perdão, casamento e separação, casamento e sogra, delimitação de papéis entre cônjuges e filhos são abordados nesta obra fascinante, que oferece até mesmo uma proposta de três modelos de casamento. Trata-se de um livro que deve, além de tudo, ser utilizado por grupos de estudos e reflexões. Diz Joanna de Ângelis no prefácio da obra: ""O livro que ora temos em mãos é um estudo sério sobre as uniões matrimoniais à luz da ética espírita e das elevadas propostas evangélicas de sustentação das criaturas e da família. Saudamos, nesta obra, o brado de advertência que o autor, com larga experiência psicoterapêutica e vivencial ante os conflitos humanos, oferece a todos quantos experimentam insatisfação nos relacionamentos profundos e incompreensões no santuário doméstico."" 1. Espiritismo, Relacionamentos Livro Espírita.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=U74OEAAAQBAJ&source=gbs_api;1.0000;"A ARTE DO REENCONTRO";"A ARTE DO REENCONTRO";
CEDE-LIV-0007;a-biologia-da-crenca-7;"A BIOLOGIA DA CRENÇA";;"Bruce H. Lipton";Butterfly;9786589238096;9786589238096;;;;2024;271;;"Este livro vai mudar sua vida: novas e surpreendentes descobertas científicas demonstram que as células do corpo são influenciadas pelo nosso pensamento e ajudam a comprovar a reencarnação. O cientista Bruce Lipton, renomado biólogo norte-americano,descreve as reações químicas do processo celular e comprova cientificamente suas descobertas que revolucionaram a Biologia. Best-seller nos Estados Unidos, ""A Biologia da Crença"" é um livro ilustrado, escrito em linguagem simples e direta, repleto deexemplos que demonstram, na prática, como a Nova Biologia está mudando o modo de pensar de milhares de pessoas em todo mundo.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=sTYVEQAAQBAJ&source=gbs_api;1.0000;"A Biologia da Crença";"A Biologia da Crença";
CEDE-LIV-0010;a-carta-magna-da-paz-frater-10;"A CARTA MAGNA DA PAZ (FRÁTER)";;"José Raul Teixeira, Camilo (Espírito)";"Editora Fráter";9781936547784;9781936547784;;;;2014;130;;"Nesta obra o Benfeitor Camilo nos oferece, através de seu pensamento iluminado, belas reflexões em torno de ensinos de Francisco de Assis. Propõe-nos uma análise a respeito de nossa contribuição para construção da paz legítima. Esclarece que “pouco o homem tem atinado para o fato de que são as brigas internas, quando a alma está indisposta consigo mesma, as principais responsáveis pela beligerância que explode, atormentando a vida, ceifando corpos, espalhando luto e aflições”. Apresenta-nos vinte e dois temas de nobre conteúdo doutrinário, numa perspectiva espírita, fazendo-nos recordar a mensagem de Francisco, o doce “cantor” do Evangelho, que teve por missão instigar os corações humanos aos esforços necessários para a conquista da plenitude. Camilo, em A Carta Magna da Paz, enseja a todos aqueles que anseiam por modificar seus passos, nesta trajetória humana que tem sido marcada por episódios de guerras íntimas e sociais, uma mensagem sensível e profunda, capaz de despertar-nos a consciência para a execução dos sublimes deveres que nos levarão à harmonia interior, condição imprescindível para a construção de um mundo pacificado.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=CoHoDwAAQBAJ&source=gbs_api;0.9877;"A CARTA MAGNA DA PAZ";"A CARTA MAGNA DA PAZ";
CEDE-LIV-0011;a-casa-do-escritor-11;"A CASA DO ESCRITOR";;"Vera Lúcia Marinzeck de Carvalho";"Petit Editora";9788572532372;9788572532372;;;;2014;161;;"Patrícia nos apresenta um lugar especial: A Casa do Escritor. Ali estudam os espíritos que são preparados para serem médiuns ou escritores. Mostra-nos a influência dos espíritos sobre os escritores e toda a dedicação e o preparo necessário para que os textos ditados sejam mensagens que elevam a alma.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=jfJNEAAAQBAJ&source=gbs_api;1.0000;"A CASA DO ESCRITOR";"A CASA DO ESCRITOR";
CEDE-LIV-0012;a-construcao-da-consciencia-12;"A CONSTRUÇÃO DA CONSCIÊNCIA";;"Ramatís, Mariléa de Castro";"Editora do Conhecimento";9786557271254;9788544427323;;;;2022;132;;"A obra apresenta pesquisa que teve como objetivo estudar a construção de consciência histórica em alunos do ensino básico, a partir do encontro/confronto, em sala de aula, dos diferentes saberes oriundos do senso comum e da ciência da História, por meio da análise das representações sociais constituídas por seus sujeitos: alunos e professores. Desenvolvida no Mestrado em Educação na Universidade de São Paulo (2003-2006), e orientada pela Profa. Katia Maria Abud, a pesquisa utilizou metodologia de inspiração etnográfica, somada a outros instrumentais qualitativos, junto a estudantes e professores do ensino fundamental e do médio, de escolas públicas situadas na periferia da Cidade de São Paulo, possibilitando a interpretação das configurações sociais da comunidade escolar à luz da teoria das representações sociais de Serge Moscovici, e do conceito de consciência histórica de Jörn Rüsen. Baseado nesse repertório teórico e empírico, a obra buscou compreender a influência da dupla dimensão do cotidiano (local e global) na construção das representações sociais dos alunos, bem como sua transformação (ou reprodução) após a atuação do ensino de História no espaço escolar, com vistas à consecução (ou não) de consciência histórica na vida prática. Por fim, a partir da análise do confronto de representações sociais de alunos e de professores, oriundas da apreensão de um conceito substantivo (“Revolução”) trabalhado nas aulas de História, propõe a socialização e a discussão dessas diferentes representações no espaço escolar como possibilidade de formação de consciência histórica e de maior aproximação do estudo da História da vida prática dos alunos.";;;active;;;;;"Editora do Conhecimento";https://edconhecimento.com.br/wp-content/uploads/2022/02/A-Construcao-da-Consciencia-1-20.pdf;1.0000;"A CONSTRUÇÃO DA CONSCIÊNCIA";"A CONSTRUÇÃO DA CONSCIÊNCIA";
CEDE-LIV-0013;a-construcao-da-mente-13;"A CONSTRUÇAO DA MENTE";;"A. R. Luria";;9788527412803;9788527412803;;;;;236;;"Uma das suas principais afirmações a respeito da possibilidade de uma interação frutífera entre a psicologia e a medicina apareceu em 1929 no artigo 'A Psicologia e a Clínica'. Uma de suas mensagens centrais era a possibilidade de utilização de métodos clínicos para a realização de pesquisa científica sobre o comportamento humano. Assim, ao mesmo tempo em que duvidava das possibilidades terapêuticas dos psicoterapeutas ou da base das teorias alternativas da personalidade, ele via nos ataques feitos aos métodos clássicos e laboratório um movimento comum e sadio em direção a uma psicologia que seria ao mesmo tempo científica e relevante para a prática médica - 'Pouco a pouco a psicologia abstrata e estatística de Wundt tem renascido de maneira fundamental; aproximou-se das tarefas concretas da vida e, por vontade própria ou não, começou a superar a natureza mecanicista das ciências naturais anteriores. Com o novo conteúdo, vieram novos princípios e um novo método.'.";;;active;;;;;"Google Books";http://books.google.com.br/books?id=hJZUswEACAAJ&dq=intitle:%22A+CONSTRU%C3%87%C3%83O+DA+MENTE%22&hl=&as_pt=BOOKS&source=gbs_api;1.0000;"A CONSTRUÇÃO DA MENTE";"A CONSTRUÇÃO DA MENTE";
CEDE-LIV-0015;a-crise-da-morte-15;"A CRISE DA MORTE";;"Ernesto Bozzano";"FEB Editora";9788584850396;9788584850396;;;;2021;158;;"Haverá quem não tenha pensado no instante final da nossa trajetória terrestre? A vida continua além do túmulo? Se cremos que sim, como será essa nova vida? Quais os fenômenos que se passam com aqueles que se desprendem dos liames carnais e dão entrada no outro mundo? Em A Crise da Morte, o autor aprecia e comenta os testemunhos vindos do mundo espiritual, submetendo-os ao processo científico da análise comparada, do que resultou um conjunto de revelações de irrecusável veracidade. Traça orientações sobre os objetivos de existência física, as bases da moral e dos deveres do homem na decisão do seu futuro. Ler esta obra é confirmar as realidades de uma outra existência, de um mundo extrafísico, cujas condições, para cada um de nós, sempre dependerão do modo por que nos conduzimos moralmente enquanto Espíritos encarnados.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=DXxlEAAAQBAJ&source=gbs_api;1.0000;"A Crise da Morte";"A Crise da Morte";
