status;raw_title;search_title;author_hint;best_title;best_subtitle;best_authors;best_publisher;best_isbn;best_year;best_page_count;source_name;source_url;confidence;source_query
sem-match-forte;"10 RAZÕES PARA SER ESPÍRITA";"10 RAZÕES PARA SER ESPÍRITA";;"O Novo Testamento, etc";;;;;1811;382;"Google Books";https://play.google.com/store/books/details?id=ZOJUAAAAcAAJ&source=gbs_api;0.2325;"10 RAZÕES PARA SER ESPÍRITA"
revisar-campos-obrigatorios;"A ALMA DOS ANIMAIS";"A ALMA DOS ANIMAIS";;"Alma dos Animais, A";;;;;2002;;"Open Library";https://openlibrary.org/works/OL13415573M;0.9311;"A ALMA DOS ANIMAIS"
sem-match-forte;"A ARTE DE MAGNETIZAR OU, MAGNETISMO ANIMAL";"A ARTE DE MAGNETIZAR OU, MAGNETISMO ANIMAL";;"Ide e curai: magnetismo aplicado a cura";;;"Editora Auta de Souza";9786586611458;2026;425;"Google Books";https://play.google.com/store/books/details?id=Ayy_EQAAQBAJ&source=gbs_api;0.3403;"A ARTE DE MAGNETIZAR OU"
revisar;"A ARTE DE SEGUIR EM FRENTE";"A ARTE DE SEGUIR EM FRENTE";;"A Arte de Seguir em Frente: Um Manual em Primeiríssima Pessoa";;"Paola Cavallari";"Editora Appris";9786525056029;2024;255;"Google Books";https://play.google.com/store/books/details?id=PdgBEQAAQBAJ&source=gbs_api;0.8349;"intitle:""A ARTE DE SEGUIR EM FRENTE"""
revisar;"A ARTE DO REENCONTRO";"A ARTE DO REENCONTRO";;"A arte do re encontro: casamento (FEP)";;"Alberto Almeida, Joanna de Ângelis (Espírito)";FEP;9786587753027;2021;157;"Google Books";https://play.google.com/store/books/details?id=U74OEAAAQBAJ&source=gbs_api;0.7359;"A ARTE DO REENCONTRO"
sem-match-forte;"A cada um Segundo suas OBRAS";"A cada um Segundo suas OBRAS";;"Manual da teoria geral do direito";;"Carlos Eduardo Nicoletti Camillo";"Almedina Brasil";9788584939343;2025;263;"Google Books";https://play.google.com/store/books/details?id=3xKfEQAAQBAJ&source=gbs_api;0.2236;"A cada um Segundo suas OBRAS"
sem-match-forte;"A CAMINHO DA LUZ - FRANCISCO CÃ‚NDIDO XAVIER";"A CAMINHO DA LUZ - FRANCISCO CÃ‚NDIDO XAVIER";;"2019 - O Ápice da Transição Planetária";"Revelações de Chico Xavier";"Marlene Nobre, Geraldo Lemos Neto";"FE Editora";9786599093906;2020;285;"Google Books";https://play.google.com/store/books/details?id=mXLgDwAAQBAJ&source=gbs_api;0.3784;"A CAMINHO DA LUZ - FRANCISCO CÃ‚NDIDO XAVIER"
revisar;"A CONSTRUÇÃO DA CONSCIÊNCIA";"A CONSTRUÇÃO DA CONSCIÊNCIA";;"Representações sociais e a construção da consciência histórica";;"Ronaldo Cardoso Alves";;9788544427323;2018;0;"Google Books";http://books.google.com.br/books?id=VNT9zwEACAAJ&dq=intitle:%22A+CONSTRU%C3%87%C3%83O+DA+CONSCI%C3%8ANCIA%22&hl=&as_pt=BOOKS&source=gbs_api;0.7562;"intitle:""A CONSTRUÇÃO DA CONSCIÊNCIA"""
sem-match-forte;"A CORAGEM DA FÉ";"A CORAGEM DA FÉ";;"Carlinhos e a Jornada da Coragem pela Fé";;"Ademir Francisco Silva";"Ademir Francisco de Souza e Silva";;2025;11;"Google Books";https://play.google.com/store/books/details?id=Jr6cEQAAQBAJ&source=gbs_api;0.6956;"A CORAGEM DA FÉ"
sem-match-forte;"A CURA DA DEPRESSÃO PELO MAGNETISMO";"A CURA DA DEPRESSÃO PELO MAGNETISMO";;"Guia 301 Dicas para Não Ter Depressão";"Edição 1";"Guia de Saúde, Saúde e Bem-Estar, On Line Editora";"On Line Editora";;2018;96;"Google Books";https://play.google.com/store/books/details?id=FsUzDwAAQBAJ&source=gbs_api;0.3848;"A CURA DA DEPRESSÃO PELO MAGNETISMO"
